Added Component: Designator=CEC2(Board To Board Connector)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FX10A-96S-SV/2041894"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Part Number"; Value = "H122463-ND"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=CEC2-1
Added Pin To Net: NetName=GND Pin=CEC2-2
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A1
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A2
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A3
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A4
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A5
Added Pin To Net: NetName=PDR_ON Pin=CEC2-A6
Added Pin To Net: NetName=PG15 Pin=CEC2-A7
Added Pin To Net: NetName=PG14 Pin=CEC2-A8
Added Pin To Net: NetName=PG13 Pin=CEC2-A9
Added Pin To Net: NetName=PG12 Pin=CEC2-A10
Added Pin To Net: NetName=PG11 Pin=CEC2-A11
Added Pin To Net: NetName=GND Pin=CEC2-A12
Added Pin To Net: NetName=PG10 Pin=CEC2-A13
Added Pin To Net: NetName=PG9 Pin=CEC2-A14
Added Pin To Net: NetName=PD7 Pin=CEC2-A15
Added Pin To Net: NetName=PD6 Pin=CEC2-A16
Added Pin To Net: NetName=PD5 Pin=CEC2-A17
Added Pin To Net: NetName=GND Pin=CEC2-A18
Added Pin To Net: NetName=PD4 Pin=CEC2-A19
Added Pin To Net: NetName=PD3 Pin=CEC2-A20
Added Pin To Net: NetName=PD2 Pin=CEC2-A21
Added Pin To Net: NetName=PD1 Pin=CEC2-A22
Added Pin To Net: NetName=PD0 Pin=CEC2-A23
Added Pin To Net: NetName=GND Pin=CEC2-A24
Added Pin To Net: NetName=GND Pin=CEC2-A25
Added Pin To Net: NetName=GND Pin=CEC2-A26
Added Pin To Net: NetName=GND Pin=CEC2-A27
Added Pin To Net: NetName=GND Pin=CEC2-A28
Added Pin To Net: NetName=PD15 Pin=CEC2-A29
Added Pin To Net: NetName=PD14 Pin=CEC2-A30
Added Pin To Net: NetName=PD13 Pin=CEC2-A31
Added Pin To Net: NetName=PD12 Pin=CEC2-A32
Added Pin To Net: NetName=PD11 Pin=CEC2-A33
Added Pin To Net: NetName=GND Pin=CEC2-A34
Added Pin To Net: NetName=PD10 Pin=CEC2-A35
Added Pin To Net: NetName=PD9 Pin=CEC2-A36
Added Pin To Net: NetName=PD8 Pin=CEC2-A37
Added Pin To Net: NetName=GND Pin=CEC2-A39
Added Pin To Net: NetName=PB15 Pin=CEC2-A40
Added Pin To Net: NetName=PB14 Pin=CEC2-A41
Added Pin To Net: NetName=PB13 Pin=CEC2-A42
Added Pin To Net: NetName=PB12 Pin=CEC2-A43
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A44
Added Pin To Net: NetName=3V3_uC Pin=CEC2-A45
